Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,1 23,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
#,А,Клуб,Имя,$,П-ть,П-ть-Δ,КЭ,КЭ-Δ,КЭ%,H2h,H2h-Δ,Кап,Кап-Δ,Pts,G,Avg,F,aF,F_1,ToF,Последние игры
70,Пз,Милан,Рафаэл Леау,9.0,8.1,-0.7,9.2,,,11.1,-1.6,0.8,-0.1,80,16,5.0,4.4,4.4,0,69.0,+9 +1 +6 +3 +3
71,Пз,Милан,Пулишич,10.5,7.8,-3.9,3.5,-30.3,-89.6,7.2,-19.7,1.0,-0.3,80,16,5.0,3.0,2.4,0,68.5,+3 +4 - +4 +1
72,Зщ,Лацио,Романьоли,5.0,0.7,,0.0,,,0.1,-0.1,0.1,,80,20,4.0,4.5,3.6,0,90.0,+1 +9 +1 +7 -
73,Вр,Кремонезе,Аудеро,4.0,37.4,-0.1,81.0,-4.9,-5.7,72.5,-1.1,0.0,,80,18,4.4,5.0,5.0,0,90.0,+2 +7 +7 +4
74,Зщ,Наполи,Спинаццола,5.5,6.7,-0.2,1.4,-0.7,,2.6,-0.8,0.0,,79,19,4.2,2.3,2.3,2,71.2,+1 +1 +1 +7 +2 +2
75,Пз,Фиорентина,Фаджоли,6.0,1.1,-0.3,0.0,-0.7,,0.6,-0.2,0.0,,79,20,4.0,5.0,5.0,5,89.8,+7 +3 +5 +5 +5
76,Нп,Фиорентина,Кин,10.0,6.9,-0.8,0.0,,,0.6,-0.1,0.1,,79,20,4.0,1.3,0.8,1,46.7,+1 +2 - - +1
77,Вр,Интер,Зоммер,6.0,10.8,-0.2,7.0,-0.7,-9.2,6.2,,0.0,,79,20,4.0,4.0,4.0,0,90.0,+6 +1 +6 +6 +1
78,Пз,Наполи,Лоботка,7.0,1.0,0.3,0.7,0.7,,0.9,0.6,0.0,,78,19,4.1,5.0,5.0,3,90.0,+5 +5 +4 +10 +3 +3
79,Зщ,Милан,Павлович,5.0,20.6,-2.6,0.7,-2.1,,5.6,-4.1,0.1,,78,18,4.3,2.0,1.0,0,82.0,+1 +3 - -
80,Пз,Сассуоло,Берарди,7.5,2.5,,2.1,1.4,,1.9,-0.6,0.1,-0.1,77,13,5.9,6.0,2.4,11,57.5,- - - +1 +11
81,Зщ,Милан,Габбия,5.5,2.3,,0.0,,,0.6,,0.0,,77,21,3.7,3.4,3.4,0,87.0,+2 +2 +2 +8 +3
82,Пз,Наполи,Замбо-Ангисса,7.5,9.5,-0.2,0.7,,,2.0,,0.0,,77,11,7.0,0.0,0.0,0,0.0,- - - - - -
83,Пз,Удинезе,Атта,5.0,3.6,0.1,0.0,,,0.9,0.3,0.0,,77,17,4.5,4.5,4.5,0,57.0,+1 +1 +4 +12
84,Зщ,Фиорентина,Додо,6.0,2.2,-0.6,2.1,-7.0,-76.9,1.4,-2.8,0.0,,77,23,3.3,3.2,3.2,2,90.0,+2 +4 +3 +5 +2
85,Пз,Лацио,Гендузи,7.5,1.4,-0.1,0.0,,,0.2,-0.1,0.1,,76,16,4.8,4.0,0.8,0,90.0,+4 - - - -
86,Нп,Сассуоло,Пинамонти,7.0,10.4,-1.7,4.2,-7.7,-64.7,7.1,-3.4,0.1,,76,22,3.5,2.0,2.0,2,70.8,+3 +2 +2 +1 +2
87,Зщ,Сассуоло,Идзес,4.5,0.7,,0.7,,,0.9,,0.0,,75,22,3.4,3.6,3.6,4,89.8,+2 +2 +3 +7 +4
88,Пз,Удинезе,Дзаньоло,6.5,0.3,,0.0,,,0.2,-0.1,0.1,,75,18,4.2,6.5,3.3,0,61.0,+8 +5 - -
89,Нп,Наполи,Хейлунд,7.5,18.0,-0.6,39.4,-1.4,-3.5,30.4,-2.2,0.4,,75,19,3.9,3.0,3.0,3,89.8,+3 +3 +3 +3 +3 +3
90,Пз,Сассуоло,Лорьянте,7.5,0.5,,0.0,,,0.4,0.2,0.0,,75,23,3.3,3.2,3.2,2,78.8,+2 +3 +3 +6 +2
91,Нп,Комо,Дувикас,6.0,9.3,2.1,14.1,-7.1,-33.4,10.4,-3.8,0.0,,75,22,3.4,6.2,6.2,0,70.4,+11 +3 +3 +1 +13
92,Пз,Пиза,Морео,6.0,0.2,0.1,2.1,2.1,,0.4,0.4,0.0,,75,22,3.4,4.8,4.8,3,73.0,+1 +3 +4 +13 +3
93,Нп,Кальяри,Себастьяно Эспозито,6.0,2.5,0.5,0.7,,,1.9,0.3,0.1,,74,22,3.4,3.4,3.4,5,65.8,+1 +3 +3 +5 +5
94,Зщ,Дженоа,Аарон Мартин,5.5,1.2,,0.7,-1.4,,0.7,-0.2,0.0,,74,20,3.7,4.8,4.8,0,77.2,+6 +10 +8 0 0
95,Вр,Кальяри,Каприле,4.5,3.3,0.3,0.0,,,3.0,1.2,0.0,,74,23,3.2,3.6,3.6,6,90.0,+2 +2 +7 +1 +6
96,Пз,Сассуоло,Исмаэль Коне,5.5,0.2,,0.0,,,0.1,,0.0,,74,20,3.7,3.8,3.0,6,82.5,+4 +2 - +3 +6
97,Зщ,Торино,Марипан,5.0,0.6,,0.7,,,0.6,0.3,0.0,,74,20,3.7,0.7,0.5,0,83.0,+2 +2 - -2
98,Пз,Болонья,Камбьяги,6.5,0.4,-0.1,0.0,-0.7,,0.1,-0.3,0.0,,74,18,4.1,5.0,3.8,0,77.0,+4 +6 +5 -
99,Зщ,Лечче,Габриэл,4.0,7.0,,8.5,,,8.4,0.4,0.0,,73,22,3.3,2.4,2.4,0,90.0,+2 -1 +2 +3 +6
100,Нп,Болонья,Кастро,7.0,3.8,-1.3,0.0,,,0.6,-1.0,0.0,,73,19,3.8,4.0,3.2,0,62.5,+1 +5 +7 +3 -
